Gene_Name,logFC,AveExpr,t,P.Value,adj.P.Val,B
POLR3B,0.541407652217101,4.61987717957014,3.57721405310701,0.00375156275507114,0.0185317495881747,-2.67713571456173
PCDHB10,4.45099902019926,-0.62104182031885,3.57441032438195,0.00377102404588006,0.0186114710986827,-1.87405750416468
ANKRD20A3,2.45847190752839,0.842290156209089,3.57325073724519,0.00377910307082015,0.0186349257937596,-2.02219175266784
FIGNL1,1.25898456360278,5.11036795133304,3.57190524036494,0.00378849949155139,0.0186694735122623,-2.75294839001266
RAB7B,4.04151493440428,1.52589947017372,3.5705564071946,0.00379794313427275,0.0186894390545984,-2.10013283397929
AC093616.4,4.20161099658127,0.441739882828753,3.569618122007,0.00380452654855383,0.0187163549907632,-1.98954911477399
RPS26,0.967687148252237,8.17610428240841,3.56820772161827,0.0038144444335814,0.0187497590031238,-2.81196789888536
AEN,0.902587523382995,6.52517339029306,3.56785976543686,0.0038168953019748,0.0187497590031238,-2.82514440886589
MIA-RAB4B,5.03451042856408,-2.12398036854413,3.56745270281239,0.00381976453193731,0.0187583702393941,-1.76442455294858
ARL6IP6,0.88723245141348,4.34847241210725,3.56554150534691,0.00383326527727724,0.01880269205623,-2.65019132029845
CNOT9,0.6378963142677,6.66940242716023,3.56508339518279,0.00383650860325323,0.018805813921376,-2.82996447131633
THUMPD2,0.65548887452414,3.52842278444052,3.56489290846704,0.00383785803381221,0.018805813921376,-2.46705196079648
EIF2S2P3,1.34999743474518,-1.00276216972538,3.56485875081195,0.00383810006188451,0.018805813921376,-1.85504719321645
PCDHB14,4.31329051270476,0.739268571833415,3.56468849238703,0.00383930668011778,0.018805813921376,-2.02759427500823
RFESD,1.0903561366714,0.733632720466704,3.56231268774861,0.00385618438349582,0.0188545762480789,-2.03135225870171
DNAJC10,0.902879446127651,7.25436063671919,3.56169037118665,0.00386061780962078,0.0188677235315241,-2.83259498429815
SART3,0.471146865815053,6.35018373954227,3.56130774436388,0.00386334624959265,0.0188677235315241,-2.83683033742864
GPD1,3.39706862770863,-2.60076102942971,3.55711961665683,0.00389333986961344,0.0189755152287859,-1.75436217392035
REXO1L1P,1.56544877496523,-0.639054342563458,3.55571466471974,0.00390345464703004,0.0190192969971992,-1.90564841541776
POLR3K,1.07707360745789,4.772187360524,3.55434716898362,0.00391332549467475,0.0190584324285232,-2.74323196714254
CTAG2,5.82264312263216,-1.5799188596064,3.55305667290159,0.00392266388379109,0.0190851334621241,-1.82769827756437
SNTB1,1.81259286194669,5.53039745313851,3.55291089102731,0.00392372022927598,0.0190851334621241,-2.82497971954896
