GeneID,SRX3270441,SRX3270442,SRX3270443,SRR7947406,SRR7947407,SRR7947408
MUS81,239,121,257,1735,953,1058
PURG,669,267,546,234,344,168
TMEM217,5,4,2,7,28,19
OR4D9,0,0,0,0,0,0
RPL12P13,0,0,0,0,0,0
ZNF596,397,203,308,339,126,231
COL6A5,10,0,1,0,0,0
CFL1,8018,4213,9763,16231,12069,14109
TMCC1,1300,810,1485,874,763,644
NAA16,1845,954,1443,768,493,589
OR5B3,0,0,0,0,0,0
EFCAB12,151,61,80,140,12,18
OR10W1,0,0,0,0,0,0
FAM192A,2267,1312,2100,3501,3387,2792
RAB43,1,0,0,5,10,6
FADS6,0,1,0,0,0,2
CBWD1,505,265,678,1627,598,707
HOXC5,0,0,0,0,0,0
RAB37,1,0,0,10,9,3
DCP2,3092,1520,2425,3542,3975,3226
ZBTB8OSP2,0,0,0,0,0,0
SNX32,65,31,82,188,225,151
RPL38,3413,1772,3307,11034,7161,5766
CYP7B1,284,101,189,44,79,67
OVOL1,0,0,2,47,242,124
RARG,8,4,15,236,126,32
CES4A,140,65,172,640,320,230
CES3,9,6,5,155,286,213
SSH3,48,31,27,502,920,662
CES2,497,235,547,1949,1624,1326
PDP2,399,177,359,368,485,363
SP3,5139,2704,3917,4499,4208,3904
KRT2,0,0,0,0,0,0
DMXL1,2261,1159,1729,1116,1170,941
METAP1D,583,249,434,162,56,59
ZNF621,1311,671,1100,950,1227,893
EGFL7,1,0,0,410,352,420
NADSYN1,684,388,694,1337,1465,1007
DHCR7,788,415,935,553,1052,1016
AP002387.1,1,0,0,0,0,0
LVRN,19,12,20,2,1,3
COX6B1P3,0,0,0,0,0,0
NBEA,5036,2728,4558,1753,1434,854
RNASEH2C,539,293,491,2649,1770,1364
MYEOV,2,2,2,4,0,0
ANKRD13D,272,173,318,1240,1400,1093
MRGPRF,2,1,2,31,22,10
MYD88,686,426,745,153,303,516
MRGPRD,0,0,0,0,0,0
OXSR1,3502,1898,2656,2159,2017,1730
SLC22A13,1,1,5,0,2,4
PHF8,1440,757,1195,1520,2335,1841
LCLAT1,372,187,243,497,464,548
ADH6,0,0,0,0,0,0
MIR4435-2HG,3,1,0,83,1,0
XKR3,0,0,0,0,0,0
FRG2C,1,0,0,1,0,0
UNC93B3,0,0,0,0,3,0
AC007318.1,9,20,13,8,2,3
KAT5,641,315,651,2031,1199,1266
SH3RF3,25,15,23,198,47,4
GXYLT2,120,32,48,115,246,158
HPSE2,30,1,1,0,0,0
DCAKD,660,263,521,1915,1553,1644
ARPP21,22,24,57,2,6,12
TADA2B,440,218,392,577,398,449
CCDC96,33,17,34,139,41,23
GRK2,293,171,322,3005,3247,2791
RELA,438,226,442,942,1099,761
EVC2,165,80,142,6,0,2
ZNF680,834,380,510,1016,1515,1089
HECTD4,4052,2707,4166,3326,7053,6989
FAM222B,625,350,532,858,1049,797
BNC2,85,12,11,3,0,2
44166,0,0,0,0,0,0
RXFP4,0,0,0,0,0,1
HPSE,11,8,7,260,254,93
COQ2,332,143,207,613,494,308
CCDC63,0,0,0,2,6,8
HSPA6,1,0,1,179,4,0
TRMT112,680,345,784,1363,1120,966
LRRN3,1985,1744,3465,166,118,215
KDM2A,3455,1697,2867,4621,3812,4336
ACSM6,6,4,4,0,0,0
ADCK5,7,6,10,351,282,266
MRPL57,539,198,451,1517,1026,1027
NOC3L,781,370,646,397,376,295
ESRRA,37,44,66,530,406,483
RHOD,0,1,0,0,4,0
ADAMTS20,68,44,43,42,32,6
COMMD1,334,195,399,342,314,453
RAPH1,1617,982,1356,849,1491,922
MTX1,232,126,216,364,241,249
ADCY5,61,52,112,1363,1862,1934
PARP14,498,168,375,136,79,79
CYSLTR1,9,7,4,15,0,0
PARP15,3,0,2,0,0,0
CKS1B,1065,402,732,804,1093,730
ABCD2,5,3,6,0,1,0
AHSA2P,4490,2573,3227,5513,8459,9001
ABLIM3,202,171,488,74,9,4
MAB21L3,4,3,11,0,0,0
TUBB8P12,2,0,0,13,14,19
MFSD4B,353,170,299,124,253,135
VANGL1,385,188,297,518,748,290
GLRX,309,229,571,284,292,178
IQCB1,1375,702,1085,2536,2242,1705
SYT12,3,3,2,16,74,44
GOLGB1,5701,2997,4996,5853,3923,3529
TERF1P1,0,0,0,0,0,0
C11orf86,0,0,0,0,0,0
LIPM,0,0,0,0,0,0
GPR151,0,0,0,1,13,0
DMRT2,1,0,7,17,32,9
ZNF483,171,89,107,52,275,151
PLAC8L1,3,6,8,2,2,2
SLC2A14,5,1,12,11,7,2
GPR137,95,42,112,1911,1297,1498
SNCG,260,209,593,31,93,35
