GeneID,logFC,AveExpr,t,P.Value,adj.P.Val,B
KANSL1,-0.62284346053369,6.70454233461365,-4.47012755196473,0.0028819957934216,0.00630213159985234,-2.37108791886115
GTPBP8,-1.15258807342681,3.37403858304732,-4.4727743943198,0.00287282089819848,0.00628560566003757,-1.87192095856282
BNC2,-4.56989182947711,-1.75024064988672,-4.47306031418103,0.00287183172596077,0.00628421847132696,-1.28261556883498
TMSB15A,-0.524885950777076,7.2859609729294,-4.4742037493174,0.00286787963176822,0.00627789956755002,-2.41699558804089
TTC27,-0.898993409839496,3.98823682311286,-4.47429664120977,0.00286755882960791,0.00627789956755002,-1.97537422902253
EPHX2,-1.94771447577251,3.88897702631038,-4.4747304317957,0.00286606125712375,0.00627547183313297,-1.95678937245031
AC004947.2,-2.85185000672452,0.833136833063347,-4.47490784623829,0.00286544901868033,0.00627490778917448,-1.57573986048896
NDUFV2P1,-1.7203485527506,-0.224792239215722,-4.47530386750919,0.00286408291100576,0.00627269253958855,-1.43667627190424
ARMC10,-0.760629515026687,4.84610633767061,-4.478109198734,0.00285442621438931,0.00625231708806691,-2.12963872956868
MTM1,-1.13916920258692,2.85203747954303,-4.47818134657355,0.00285417833598226,0.00625231708806691,-1.7893733581264
ZSCAN9,-0.815581327655159,5.57374931887184,-4.47889936869722,0.00285171271885778,0.00624792036249005,-2.24094584691625
BMP3,-5.07717729600757,-0.424972636439461,-4.47935101893812,0.00285016299900904,0.00624529834111034,-1.4061772840243
RNF14,-0.684655321698876,5.31588058700145,-4.47940226151024,0.00284998723212947,0.00624529834111034,-2.2043384006542
SPTSSB,-3.83488745213092,-2.08809880745451,-4.47967715699495,0.00284904451844135,0.00624439411734191,-1.2522701706437
SOD2,-0.517666407068823,6.92650887456589,-4.48063645382906,0.00284575744162786,0.00623796236027791,-2.37712764373464
SLC25A21,-4.72627637686761,-1.00595502389209,-4.48076094384189,0.00284533117703686,0.00623780074916247,-1.33878468457165
CSNK1G3,-2.07953519198605,5.20863917622601,-4.48084339665749,0.00284504889018407,0.00623780074916247,-2.18630810978188
AVPR1A,-4.50112582198344,-1.35181995972743,-4.48130478554907,0.00284346984078003,0.00623603809652477,-1.30511529976785
ATL1,-0.811502574506935,5.85119922007714,-4.48235749338113,0.00283987068578481,0.00622891681099249,-2.27060279269939
MYO15A,-2.46309037271748,3.46204025683077,-4.48301951007098,0.00283760985544529,0.00622550139891493,-1.8727531806245
LIPG,-2.28838501049066,1.92154182037076,-4.48331258017271,0.00283660963528333,0.00622485066187563,-1.67827267925661
LINC00683,-3.12053044929881,-1.00583340813486,-4.48335960189147,0.00283644919083643,0.00622485066187563,-1.33562113461291
BOC,-6.04113888557366,1.70474735515509,-4.48385883681792,0.00283474635052271,0.00622230516389391,-1.65573995224499
