gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
KLHL42,0.50383813665873,5.67666164112166,12.0989256060458,7.52405450992644e-06,2.26557876584068e-05,3.31826296798361
SORCS3,1.88951899860931,1.92716993757835,12.094665573582,7.54139087582836e-06,2.26984093538679e-05,3.83338843808549
PSD4,0.732273838639061,4.41120307744661,12.0882435308913,7.5676118401503e-06,2.27709259404944e-05,3.41969869858694
ZNF488,0.931233429797705,2.27296123730124,12.0846720983794,7.58223887062782e-06,2.28117315923598e-05,3.78410534195866
SEMA4F,0.774019951270874,4.2317714510665,12.0839438377384,7.58522546672776e-06,2.28175095803758e-05,3.44829291649425
ARHGAP25,1.28918567082232,3.25507147523516,12.0774258290736,7.61201566376375e-06,2.28884477734666e-05,3.63025262803039
TMEM138,0.747322947023166,4.34907744697182,12.0740044619233,7.6261213012639e-06,2.29116470554295e-05,3.42150532600072
IL1A,2.26030444124028,0.935721191220557,12.0739965441028,7.62615397948324e-06,2.29116470554295e-05,3.95097202804437
GINS3,0.912975445006385,4.19678640692678,12.0730255069931,7.63016282973811e-06,2.29204736905102e-05,3.44799645058046
PROCA1,1.92734408187955,2.20602372790239,12.0693741916899,7.6452585314589e-06,2.29593753821825e-05,3.7833410773659
IGLL5,3.57333586954859,-0.328893063435568,12.06835580199,7.64947495468862e-06,2.29688148786757e-05,4.21478041644144
CSNK2B,0.677345173692906,6.17038152892892,12.0679793468566,7.65103425771338e-06,2.2970274402839e-05,3.30046910434167
CDS2,0.571464138344673,6.83350676545286,12.0677076564186,7.65215984349162e-06,2.29704315750703e-05,3.33461683907301
NGFR,0.578324869070265,6.69226437463264,12.0595100370655,7.68621076195037e-06,2.30661762392069e-05,3.31914859286815
CHDH,1.05374911433752,3.81906406239464,12.0540374298599,7.70903887202473e-06,2.31314396436205e-05,3.50845024720739
DCLK3,1.09187577294983,2.94331581160053,12.0513128522688,7.72043285082994e-06,2.3155889056378e-05,3.66755296664799
PRRT1,1.8970283423036,1.50475134278472,12.0499870848977,7.7259840590444e-06,2.31660460655264e-05,3.8576616875433
TMEM62,0.967437305944371,3.77598286100101,12.0450541892303,7.746678946582e-06,2.32248451454958e-05,3.51132315993172
MAPK10,0.870272765816886,4.57277060263191,12.0446553774197,7.74835483604331e-06,2.32266160442346e-05,3.36737886700309
ADCY5,0.78197319512752,4.94036556643462,12.0441447972493,7.75050100303045e-06,2.32297959624507e-05,3.32077229166166
SLC15A1,1.18035285635118,1.21325128183455,12.0429029132933,7.7557239558862e-06,2.32389415970646e-05,3.89085324691539
CD37,1.03838564932135,3.1606625834319,12.0317454506756,7.80282909353083e-06,2.33735410901106e-05,3.61903079151703
RP11-17M15.2,1.57829115001964,1.09174052983537,12.0308176119477,7.80676096847955e-06,2.33820466006672e-05,3.90069572742932
GUCA1C,8.497541425976,-0.106954881548793,12.0219896992288,7.84428404206915e-06,2.34845728566801e-05,4.13840214333766
SERPIND1,1.679471894638,0.870359592059947,12.0130632781723,7.88243520059273e-06,2.35921913855805e-05,3.92485222307682
PIK3R5,2.30713135827014,2.45578657924257,12.0119491340129,7.88721185085857e-06,2.36031872544639e-05,3.71544996627251
PNCK,1.1276643798308,2.64458443147787,12.0092832536757,7.89865464268928e-06,2.36308226610957e-05,3.68732156391604
TNFAIP8L2,1.37073890023519,1.26840116838653,12.0029038601755,7.926113968615e-06,2.37063467398361e-05,3.85905043253766
AC145212.2,3.20971192941794,0.443338763176472,11.9899136870924,7.98236596259589e-06,2.38645870509065e-05,3.99315719147157
GS1-114I9.3,1.93262975589359,0.4852274874911,11.9838902334621,8.0086040935093e-06,2.39296598371324e-05,3.98059379617681
GVINP2,5.05636256582273,-1.70376019680982,11.9787243614511,8.03118500420319e-06,2.3990433027908e-05,4.3877348325182
PARP1,0.535042297676476,7.32813337613559,11.9766323504377,8.04035020032339e-06,2.40077588361498e-05,3.32255369599552
TMEM191C,1.20743128419137,1.99318675070746,11.9671359758925,8.08210456211998e-06,2.41290673654699e-05,3.74738304395004
RIBC1,1.19376783890956,1.67053398108729,11.9602201442075,8.112668302319e-06,2.42135601275322e-05,3.7826001269921
ZNF670-ZNF695,0.826711331177344,4.87056410173134,11.9549681633605,8.1359669464969e-06,2.42797128493967e-05,3.2730351784501
NUGGC,1.15710771232033,2.88922455320433,11.9533906615898,8.14297990281872e-06,2.42940932189697e-05,3.61605343254747
NSF,0.981950591451534,5.91575332428366,11.9505744033164,8.15551703951455e-06,2.43244887397896e-05,3.22523745398124
TMEM86A,1.34753702469857,3.60025636159611,11.948298202419,8.16566609623355e-06,2.43445816210735e-05,3.48593512053876
FGD5P1,1.57586585364077,1.80185707950987,11.9479222001016,8.16734399046999e-06,2.43461926779985e-05,3.75905643725566
VMA21,0.735102286005347,5.64702157577497,11.9410620771952,8.19802615663629e-06,2.44240470254018e-05,3.22128781380368
ARID3C,3.04313437224748,-1.93664926994181,11.9399179818226,8.20315595133317e-06,2.44293170878047e-05,4.39009298939072
SYNGR3,1.94604047951362,1.91577633145875,11.9396520129943,8.20434900363182e-06,2.44293170878047e-05,3.74003545254401
NPTX2,1.41638939573997,3.75631713790736,11.9367735629113,8.21727349511957e-06,2.4460960308212e-05,3.44838541531089
KCTD3,0.616659157951458,6.77474496098634,11.9266216725819,8.26304214647261e-06,2.45835266973802e-05,3.24294437818544
GUK1,0.634026807516934,7.16642148259098,11.9241260448536,8.27433789157883e-06,2.46068714594222e-05,3.2747617667609
TMCC2,0.520620081248386,4.87068876056951,11.9233350091053,8.27792196470796e-06,2.46141100042574e-05,3.25338954200867
GLRA1,4.95582724023011,2.1183598554752,11.9175631582392,8.30412709316334e-06,2.46851711354132e-05,3.701368961891
RFX5,0.693152890349473,5.50454287430728,11.9139896446581,8.32039884988597e-06,2.47266726720507e-05,3.20724446740894
ZNF322,0.51967848338433,5.8984342508292,11.9100798250488,8.33824363852831e-06,2.47625126398531e-05,3.20007587725452
ECT2L,2.25440078888171,1.61868069870346,11.9077356701787,8.34896351900514e-06,2.47805943970693e-05,3.75668892769112
PBRM1,0.552616096888865,7.13521293282698,11.9072781414947,8.35105764277363e-06,2.47833730904442e-05,3.26140208682269
ATP5S,0.539436937899127,5.17314822847884,11.9062622654745,8.35570948325231e-06,2.47937404783099e-05,3.21645144894166
VWA5B1,1.31311721705805,2.15260403742192,11.8986094015692,8.39084820319846e-06,2.48807597801409e-05,3.68536370245022
G6PC2,3.83515993002229,0.303395802607814,11.8951149003099,8.40694951955346e-06,2.49215984164824e-05,3.96686324046504
DEPDC5,0.591840159124976,4.80683825363733,11.8874459011337,8.44240902592103e-06,2.50197840462182e-05,3.23833412474037
NXPH4,1.4639341481553,2.67048498659295,11.8870760260499,8.44412354262023e-06,2.50214005513915e-05,3.60824914066105
FAM131C,2.71752672217383,-0.606697278982971,11.8827440266036,8.46423366410128e-06,2.50740474896553e-05,4.160636636183
TECPR1,0.804546410329962,5.21414205064558,11.8823497539036,8.4660666781973e-06,2.50760067967695e-05,3.19917340171342
MT1H,5.16027316584197,-1.65099123841362,11.8789688117616,8.4818036285991e-06,2.51191425298058e-05,4.32386845164158
CENPK,1.06591028105478,3.98679674460088,11.8755255735453,8.49786485061889e-06,2.51597456629957e-05,3.36560065235968
GALNT9,0.887833058660628,2.8790509795989,11.8744155975949,8.50304980289266e-06,2.51681337202754e-05,3.56881981494373
TCTEX1D2,1.09008077882306,3.0307619044302,11.8740450958871,8.50478130465853e-06,2.51697779678659e-05,3.54398866948816
FAM166A,1.29560582012978,1.43279282501097,11.8710439029331,8.51882190730996e-06,2.52078453314192e-05,3.75700327932675
NRTN,2.13010295448375,0.824260593479539,11.870510626222,8.52131952314386e-06,2.52086719401288e-05,3.84559047920211
WFDC11,0.888169512114628,2.69650883399312,11.8667634458793,8.53889311954202e-06,2.52532719963463e-05,3.59184199723809
CMSS1,0.711248431933078,6.37356646609566,11.8655140043113,8.54476196232047e-06,2.52646952798901e-05,3.18131397270481
MROH7,0.939240581933728,4.91939075713641,11.8634925143436,8.55426699747267e-06,2.52882564291309e-05,3.21089949053349
C9ORF66,1.14493679681831,2.42762947525347,11.8587869791467,8.57643915172034e-06,2.53398022037922e-05,3.62486985486915
ANXA8L1,1.13855079863479,3.55304385716859,11.8569874451514,8.58493575488476e-06,2.53614051016975e-05,3.43839009568684
OR7E128P,1.33218725546847,0.164272064815668,11.8424229112355,8.65405750941085e-06,2.55327239287588e-05,3.96691401651214
KLK3,3.59108243358046,-1.41244604408677,11.841096523464,8.66038388573119e-06,2.5545506657429e-05,4.27076362232626
C2ORF72,0.946822209704065,2.32319329115601,11.829045183891,8.71810665608909e-06,2.57051435129184e-05,3.62035728829052
CNNM1,1.74539207762801,1.54231565538844,11.8248995770633,8.73806438899569e-06,2.57568919043761e-05,3.71486846463382
RP11-746P2.3,7.03749116403739,-0.998750661856813,11.8245814034818,8.73959828885378e-06,2.5757865901451e-05,4.19730444972904
LYPD8,2.10678562541747,-1.30584503518797,11.8236731001201,8.74397886690229e-06,2.57672283750943e-05,4.24524457529534
SRSF3,0.549524865984406,8.03764970453128,11.8185046576555,8.76895302927889e-06,2.58372662012192e-05,3.29339856193756
HAUS6,0.492047644987407,5.35001882112702,11.8180984214279,8.7709194288391e-06,2.58395028954499e-05,3.1523569282336
TDRD6,1.96823504836327,2.3570462312781,11.8160442252384,8.78087053764886e-06,2.5865259030732e-05,3.60780413530846
TMEM215,2.25489635837382,1.54926484747383,11.8149052490347,8.7863936111147e-06,2.5870846396848e-05,3.70782258227631
