"GeneID"	"AA.043_Thalassimia_D08.N3"	"AA.043_Thalassimia_D10.N1"	"AA.043_Thalassimia_D08.N1"	"AA.043_Thalassimia_D10.N3"	"AA.043_Thalassimia_D10.H4"	"AA.043_Thalassimia_D08.H4"
"SNORA61"	120	200	304	157	84	143
"SNORA44"	61	106	168	66	38	72
"SNORA16A"	116	297	364	161	75	137
"RAB42"	3	6	5	3	9	4
"TAF12"	610	1183	1179	1038	706	671
"RNU11"	301	659	527	699	464	404
"GMEB1"	1084	1979	2042	1567	1141	1157
"YTHDF2"	3094	3655	7698	2241	1735	3496
"OPRD1"	0	2	3	0	9	1
"EPB41"	25328	70678	36356	73483	45805	26066
"TMEM200B"	26	52	28	18	50	19
"SRSF4"	3679	6459	6869	3199	2655	3878
"MECR"	436	758	1559	447	221	551
"PTPRU"	4	9	19	4	10	5
"LOC101928460"	1	0	1	0	1	0
"LOC101929406"	0	0	0	0	1	0
"MATN1"	2	16	10	3	12	7
"MATN1-AS1"	27	73	51	45	44	31
"LAPTM5"	1414	978	3950	559	823	2307
"MIR4420"	2	2	10	0	0	3
"SDC3"	9	9	53	0	12	22
"PUM1"	4728	5855	7543	3848	3971	5208
"SNORD103A"	0	0	0	0	0	0
"SNORD103B"	0	0	0	0	0	0
"SNORD85"	18	18	15	15	7	19
"NKAIN1"	0	2	14	1	11	3
"SNRNP40"	4059	5386	8301	4593	2759	4571
"ZCCHC17"	1085	1756	2429	1449	1032	1332
"FABP3"	38	39	67	25	28	50
"SERINC2"	88	883	787	52	184	341
"LINC01225"	5	1	23	2	5	12
"LINC01226"	5	2	36	2	8	14
"TINAGL1"	2	1	14	1	5	5
"HCRTR1"	12	16	35	3	15	22
"PEF1"	1144	2089	2559	1617	977	1315
"COL16A1"	2	1	1	1	18	2
"ADGRB2"	0	0	2	2	19	1
"MIR4254"	0	0	0	0	0	0
"SPOCD1"	1	0	1	0	1	0
"PTP4A2"	14459	24727	29804	18396	12125	14897
"KHDRBS1"	4986	5781	10238	3470	3935	5435
"TMEM39B"	186	244	449	142	106	226
"MIR5585"	5	2	3	0	1	4
"KPNA6"	7440	14752	15287	10864	8301	8672
"TXLNA"	2756	3268	7449	1995	1656	3477
"CCDC28B"	581	1394	1726	708	492	727
"IQCC"	316	515	578	471	332	415
"DCDC2B"	66	103	84	38	93	114
"TMEM234"	149	204	228	133	129	177
"EIF3I"	4868	7618	13058	5581	2881	5504
"MTMR9LP"	14	14	30	14	7	20
"FAM167B"	2	1	1	0	4	3
"LCK"	0	2	7	0	8	1
"HDAC1"	4649	7857	9840	6195	3637	5033
"MARCKSL1"	323	404	898	198	179	414
"FAM229A"	74	307	198	90	79	76
"TSSK3"	362	737	450	303	316	317
"BSDC1"	6888	19008	10158	16552	10042	7318
"ZBTB8B"	2	0	2	0	5	0
"ZBTB8A"	72	36	188	24	43	66
"ZBTB8OS"	547	784	952	795	475	495
"RBBP4"	10240	11875	16145	9523	7227	11101
"SYNC"	3	8	7	1	3	4
"KIAA1522"	407	730	1042	386	479	486
"YARS"	7798	15535	17822	11652	5244	6729
"S100PBP"	1736	2169	1742	1642	1520	1999
"FNDC5"	17	12	27	6	28	30
"HPCA"	1	1	0	0	4	0
"TMEM54"	1	1	2	2	8	0
"RNF19B"	761	1917	2232	1200	763	892
"AK2"	3938	4188	8958	3174	1894	4562
"AZIN2"	4	10	3	0	10	7
"TRIM62"	60	80	137	41	45	53
"ZNF362"	240	293	746	126	140	260
"A3GALT2"	1	1	1	0	8	0
"PHC2"	1863	3452	5600	2102	1349	2186
"MIR3605"	4	3	5	3	3	9
"LOC101929464"	0	2	3	1	0	3
"ZSCAN20"	161	263	331	202	216	230
